Destination,Population,Total,Code,Argentina,Australia,Austria,Bahrain,Bangladesh,Belarus,Belgium,Brazil,Canada,China,Congo DR,Cote d'Ivoire,Ethiopia,France,Germany,Greece,Hong Kong,India,Iran,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Lebanon,Libya,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Portugal,Qatar,Russian Federation,Saudi Arabia,Serbia,Singapore,South Africa,South Korea,South Sudan,Spain,Sudan,Sweden,Switzerland,Syria,Thailand,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uzbekistan,Venezuela
Jordan,9455802,3233553,JOR,,251,117,428,11715,,72,105,328,20936,,,76,397,721,61,38,5956,94,51,1582,310,103,,19,,757,1852,21680,284,,200,63,25,43,641,3280,,224,600,5074,58,,58,94,278,306,2265,90,200,668842,103,1033,,398,210,814,2638,,31
Kazakhstan,17794055,3635168,KAZ,,,,,,70858,,,,2215,,,,,223789,8041,,,,,,,,,,,,,,,,,,,,,,,,2411227,,,,,32711,,,,,,,,48062,,346445,,,,288745,
Kenya,48461567,1078572,KEN,,,,,,,,,,,11231,,36692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,91862,,7573,,,,,,332008,,,,,,
Kuwait,4052584,3123431,KWT,,,,1413,381669,,,,,,,,3917,5241,,,,1157072,,,,,,54923,,,,12567,,,,1067,,4839,,,340481,,678,,2263,,,,,1880,,49611,,,23255,4092,13400,,,26875,10237,5190,,
Lebanon,6006668,1939212,LBN,,,,109,2994,,,,,2387,,,,102,184,,,1521,,,404,,,473,,,193,,250,,,,,,,164,837,,,154,1296,,,,,70,,578,,,1209286,,263,,102,,208,674,,
Libya,6293253,788419,LBY,,764,768,989,1277,778,690,260,2913,3142,443,609,1872,5139,7186,2675,,4950,420,,,6839,1027,20865,819,342,11041,11314,,8098,,1809,,2913,342,1730,2514,,1445,7408,36268,,683,661,731,1815,742,14751,764,952,28383,2913,2591,,893,2837,7393,10106,384,
Malaysia,31187265,2703629,MYS,,5416,,,365600,,,,,10575,,,,,,,,135352,,,,,16778,,,,,,,,,,2183,,,,27395,,,,,,81109,,3492,,,,,,,8448,,,,,10049,,,
Mexico,127540423,1224169,MEX,19214,607,509,,73,,863,6359,14488,10203,99,34,,12212,9975,254,,1210,385,379,1195,5064,3065,56,,89,,991,,74,,1665,146,193,248,,203,621,,1603,106,82,45,271,8593,,27608,,422,1487,193,164,273,,463,,3447,899311,,16373
Netherlands,17030314,2056520,NLD,3656,11442,7054,144,1518,368,59147,18714,10702,67085,5309,1281,13436,27807,131877,15987,,28912,31457,5831,5667,29552,6429,1161,323,3327,1411,3894,971,3929,4577,,4145,7583,2888,709,13132,18401,196,60808,2509,176,3924,14889,7587,,28082,5009,5037,7515,10392,15182,204356,1894,1872,1213,53007,30259,210,4148
New Zealand,4693200,1067423,NZL,1817,66896,1375,,1570,,,3827,10214,95067,,,1218,4008,13805,,7529,71658,3286,9648,,2098,10954,,,1759,,,,17443,,21137,,,,,3039,,,5830,2002,1132,5727,57897,28376,,,,1439,3269,,8236,,,1439,,272071,22893,,
Nigeria,185989640,1235088,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,5234519,798944,NOR,1168,2343,1709,33,1076,1072,1800,5573,3264,12064,264,352,8337,6769,30384,2443,1096,12891,17430,1191,883,4276,1501,445,964,2099,426,2004,571,882,1319,9320,680,1882,,58,20886,3149,65,18523,647,4414,811,1563,8059,191,6617,3365,53005,2366,5893,19437,12053,1209,4562,437,20827,18805,512,1148
Oman,4424762,2073292,OMN,,,,997,276518,,,,,,,,,2951,,,,1201995,,,,,,19108,,,746,,,,,1412,,,,,218522,,430,,1869,,,,,,,17724,,,,,,,,16584,10464,,,
Pakistan,193203476,3398154,PAK,,,,,,,,,,312,,,,,,,,1873650,2154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,10325452,880188,PRT,1343,1223,512,,1496,962,3481,136631,7404,10646,1848,132,30,92406,27383,189,134,7947,206,1588,345,2774,314,28,887,102,,74,28,49,268,4030,44,269,336,,1969,,,5774,,51,28,11224,131,,16124,,817,16470,26,276,301,27,47360,,18709,7080,894,24603
Qatar,2569804,1721392,QAT,,,,779,163386,,,,,,,,1700,1082,,,,658488,,,,,,32861,,,6623,8439,,,,458,,4152,,,135876,,,,914,,,,,2073,,18954,,,7290,2336,5146,,,9875,3917,2325,,
Russian Federation,144342396,11651509,RUS,252,543,2955,,471,764819,471,433,558,56210,,110,272,2568,142126,1953,60,5705,2013,175,3651,1897,1025,816,2562079,451,85,968,270,1557,204,548,86,796,701,52,728,232,26,,219,,50,240,3723,,1394,258,475,580,3267,217,10244,82,3272304,355,1742,4591,1147613,98
Saudi Arabia,32275687,12185284,SAU,,,,,1157072,,,,,,,,148753,,,,,2266216,,,,,,217904,,,,139459,,,,,,,,,1343737,,,,,,,,,,,435810,,,745580,,,,,,,,,
Serbia,7058322,801903,SRB,48,670,6950,,,133,215,84,607,1750,,,,5351,15972,907,,292,64,51,108,1909,38,98,96,,66,44,371,,25,746,23,,137,,,38,,2923,,,,140,25,,156,,1182,2836,122,,385,,1265,23,642,1277,79,36
Singapore,5607283,2623404,SGP,,10446,,,83279,,,,4847,462632,,,,,,,63912,154788,,,,,,,,,,,,1158890,,,4061,,,,133306,,,,,,,,,,,,,,,19873,,,,,,17699,,
South Africa,56015473,4036696,ZAF,3915,11898,8903,270,4182,395,13128,4845,9401,38684,50340,1909,5126,12506,93660,14912,2665,39907,1162,19989,7378,38515,2889,92,,27143,148,1528,268,1500,470,33217,5166,27326,1838,51,16517,44925,,5608,1021,6401,1500,,2748,,2406,5008,397,3244,192,1444,1864,8009,6288,296,123764,16713,,496
South Korea,51245707,1151865,KOR,,5028,,,10855,,,,17431,614012,,,,2339,1804,,,5536,,,,,22661,,1433,,,,,1387,,,2229,1495,,,9703,,,4500,,,,1938,,,,,,,,32128,,,,,4810,67133,24197,
South Sudan,12230730,845239,SSD,,,,,,,,,,,87871,,12802,,,,,1415,,,,,,,,9570,,,153,,,,,3541,,,,,,,,,,,,,,563135,,,,,,145799,,,,,,
Spain,46484062,5947106,ESP,254230,6436,8927,56,9929,3922,44548,100128,6987,157190,1481,2986,3748,205624,202544,4019,,34773,5943,15066,2885,107332,6186,2282,1814,1569,487,3372,975,607,49074,47154,1083,30484,16169,51,55064,113095,91,80007,853,3937,507,2855,4228,,,392,19501,62876,5966,2103,4006,213,82392,329,308872,42692,648,162000
Sudan,39578828,735821,SDN,,,,,,,,,,1310,943,,71631,,,,,1506,,,,,,,,3037,,,1836,,,,,17488,,,,,,,,,,,,301885,,,,,,,,1481,,,,,,
Sweden,9923085,1747710,SWE,3188,4034,5838,89,7448,2865,2518,7425,3637,29326,3420,992,16897,9635,50160,16210,607,23505,69866,2594,2641,10893,3186,3943,1978,3847,2294,26461,2720,1527,2497,10779,1106,4723,42561,60,11601,3624,178,19675,3811,10208,746,2544,10813,,10317,3806,,3625,99352,39241,46909,4243,7406,1797,25558,19740,3653,1199
Switzerland,8373338,2506394,CHE,9193,8165,67514,318,2192,1239,16847,49250,12829,19090,7125,3131,5405,157721,376007,9596,,19791,9708,3783,3976,274648,7878,712,2491,3539,487,6411,1139,2473,6851,32535,1958,3633,2536,91,4616,213555,72,19950,1031,174909,1935,7920,3758,,65211,1162,10580,,3831,20734,87634,823,7641,451,49847,39775,768,4137
Syria,18430453,1013818,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573,,,,,,,,,,,,
Thailand,68863514,3588873,THA,,1457,,,1445,,,,773,76595,16,16,2,1357,2366,,,9162,14,,,630,8406,,,,,,,1352,,700,1852,,739,,2415,545,,,1,,750,,935,,,1,717,967,,,1,,,,2128,4174,,
Turkey,79512426,4881966,TUR,165,3482,17009,,388,354,10383,406,1691,2084,86,,177,18955,324602,70269,66,615,19299,636,3224,3371,2372,1084,5926,204,337,1341,3642,311,180,25894,342,1039,4215,28,1380,264,35,23567,5218,,232,348,605,,1433,472,6328,12302,3271533,172,,,4957,50,22442,16111,9450,46
Uganda,41487965,1692120,UGA,,,,,209,,63,,388,597,298749,,1512,363,340,59,,5745,,,,590,296,,,61501,,,,,,312,,,,,976,,,446,,,,,254,903199,87,90652,,,,,,,,,1754,1404,,
Ukraine,45004645,4964293,UKR,,,,,,247989,,,,6625,,,,,1093,,,3854,2157,,3789,,,3751,224467,,,1781,,,,,,,,,,,,3309525,,,,,,,,,,,3757,,1368,,,,,2765,222012,
United Arab Emirates,9269612,8312524,ARE,,,,1906,1044505,,,,,,,,10538,17302,,,,3310419,,,,,,161143,,,64398,39972,,,,3010,,14971,,,950145,,2549,,6275,,,,,15186,,127057,,,50463,12227,36417,,,,27840,14898,,
United Kingdom,65595565,8841717,GBR,9296,131542,17790,5133,228353,3881,36822,55772,91545,207278,17194,6997,13655,160991,300983,59959,98384,836524,90499,402089,16077,170454,45243,5182,4452,141020,11523,14043,14499,65253,8610,72604,62091,209417,14952,2813,529324,147271,2218,48399,31574,7385,46300,210470,5548,,131496,16200,32624,17594,8158,41046,75791,63140,19197,10095,,190491,2347,8062
United States,323405935,49776970,USA,196095,87851,50304,,219021,59517,36310,367521,893491,2422998,25147,28348,217913,183284,645314,149249,244894,2307909,402700,138889,142162,389507,368351,74138,28425,123164,29345,129006,9520,70742,12683066,91303,33605,282153,28408,,370353,195902,,424350,86444,37701,35549,99405,1177066,,109881,44595,51275,42735,83511,263611,373059,44965,377365,12219,748206,,60216,232448
Uzbekistan,31847900,1159190,UZB,,,,,,26266,,,,,,,,,8523,,,,,,,,,,13062,,,,,,,,,,,,,,,868913,,,,,,,,,,,,,,,123355,,,,,
Venezuela,31568179,1426336,VEN,10098,150,840,,,,401,6119,1153,14081,,,35,3835,4276,746,581,262,91,62,475,51863,364,203,,,72,7602,137,34,3890,700,18,106,91,,14,55441,,684,1643,842,18,72,281,,75744,,115,671,15875,71,134,,214,,1831,11417,,
