Country,Category,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Eritrea",1,ERI,,,2366643660.76838,2748954780.03629,3403238017.35414,3573524892.81938,3975668545.03798,4363516718.16299,4489058412.87515,4558369852.62054,4515614053.81925,5022891984.88903,5253276514.14117,5215746473.26768,5436965859.67402,5756383485.58679,5875729016.79974,6118169292.55981,5627900638.75158,5890463354.62194,6093233052.83288,6758835465.49469,,,,,,
"Spain",1,ESP,529934259982.249,561514371942.19,579650863079.597,587321109949.456,614115249958.914,644210635561.546,674634302122.23,715449343934.24,764800318044.468,803988041287.32,873445368610.84,936694317793.802,1009397665671.58,1056980259367.13,1124101059741.44,1209299968291.43,1368291736010.62,1474005277908.48,1537792307628.72,1501473571720.78,1488329473449.41,1498957471269.2,1496188357583.57,1519995554238.29,1566854228598.09,1617121757515.14,1687614196501.72,1769637042996.12
"Estonia",1,EST,,,,,,9027077358.77858,9660042194.87467,10970181291.8878,11586571955.7026,11633853161.7972,13159259164.4808,14313345219.4591,15987498483.2749,17906822948.3658,19654230829.9691,22375658814.9278,25940225106.6638,29442013192.9468,30303860344.3689,27355830719.427,28763509232.0953,32579424941.3604,34419815454.1773,36239295476.4712,37515048681.8881,37737670348.7466,39135985954.4205,41756008088.9641
"Ethiopia",1,ETH,20262639542.1785,19442704016.8004,18161308671.0626,21037115182.0886,22170170866.8755,24019382187.6788,27497046128.6462,28844139463.7872,28148876686.4799,30054968063.2675,32605713536.1209,36117148604.0173,37227065857.9435,37148739297.1638,43350919345.4194,50034195897.6479,57158998047.7717,65402691969.5815,73880033925.7865,80993822423.1908,92272352852.6885,104704865663.231,115855054608.745,130184218085.791,146113892212.717,163047900346.269,177614664577.742,199336019094.66
"European Union",2,EUU,7162635793419.07,7484234268408,7728385900651.79,7904010032207.26,8302740693333.05,8712953417572.43,9071270111754.86,9479915266772.65,9901265107248.69,10307571705769.9,11019480235314.4,11587923197189.5,12128889232555.4,12464765822645.1,13124414337174.3,13645856796759.1,14818432325692.8,15762719546023.3,16538439239973.4,16187487801569.7,16776890162449.2,17499582847970,17820289540667.1,18487809452209.4,19058657564499.2,19602400739312.3,20256918530236.7,21075278954682
"Fragile and conflict affected situations",2,FCS,472547460103.909,380513476163.063,416625986296.993,459152828473.223,487077267895.758,515534303365.296,562402610427.586,621284783133.273,711322469266.094,780580906547.509,817343476063.373,862352297090.347,872194157567.628,841434640116.563,998054384359.578,1101850313638.47,1218153327426.21,1318724717684.51,1421634145635.99,1501515924088.58,1616243870625.1,1574825423465.11,1802223942303.55,1910314714265.55,1966893964097.27,2022006521679.39,2132806168937.48,2247002004785.39
"Finland",1,FIN,90548294247.6313,88028553959.7767,87041886830.7755,88458273027.2829,93899549992.2412,99890841312.4584,102764657254.796,111887080314.833,121309899420.669,127941800557.842,138456504796.559,144194033054.304,148566373419.174,151088387838.286,162749332733.589,167840485836.573,180988330030.512,199367014217.604,212373304097.574,201933341439.119,207964911617.691,219213912532.236,219916455236.407,224594276070.103,226490007826.192,230530396766.477,238376056006.602,247269243618.648
"Fiji",1,FJI,2774422653.07923,2789366811.89667,3026981941.24037,3165011474.13986,3397217852.22647,3554774601.62554,3793413052.69508,3773454001.94199,3863992993.6636,4268359404.87682,4291273557.14878,4476848753.54102,4691032349.80812,4832419842.6333,5228458717.43898,5434468466.91606,5705195368.33607,5807206777.90726,5982274667.22611,5944159874.18806,6194534328.03906,6493459112.28588,6706403160.30237,7137335535.65145,7672546751.06293,8053912958.67314,8187660390.80853,8651711704.05833
"France",1,FRA,1027853767234.21,1072962491203.65,1114724739671.89,1133890357674.36,1185195639595.62,1235137568358.37,1274344009972.78,1333089630424.02,1404748248085.99,1470523899441.7,1589213317454.65,1688828283427.15,1762926373243.27,1751543521506.18,1821225808106.5,1926880446239.76,2063817907517.69,2181830442185.47,2259256991361.58,2243971798865.28,2336765167449.77,2446475413051,2474003939353.38,2608522466158.15,2662033396692.53,2701323978447.72,2765185411284.74,2876059993398.77
"Faroe Islands",1,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",1,FSM,169418192.776877,188059402.456967,200055582.666928,221488745.693423,224993221.238645,245956826.884904,242654114.20652,231836471.835191,241279300.884995,248361447.772245,265604105.305274,276403331.90653,282330064.279196,293565970.261582,292194649.143004,307799506.443708,316841223.967909,318890249.212021,317934806.00406,324120442.31991,334778100.223427,353126615.296906,352476597.279342,344349073.960827,342971406.367797,363787753.835656,368194046.098812,382315405.133948
"Gabon",1,GAB,12001770070.7608,13159277429.515,13043339391.7564,13880684653.3081,14702407313.9554,15755579386.2316,16624779984.8339,17879632244.3614,18702244299.1377,17292282326.0552,17352754498.0995,18127172212.8553,18359611223.8275,19146540751.4957,19808671158.4854,20993221893.3678,21030893281.2013,22887784100.9763,22564675793.3704,22765672116.7616,24677218900.9868,26972955724.1173,28912626473.1344,31036260309.8086,32956191887.726,34605899134.6842,35777221393.5862,36823316530.6503
"United Kingdom",1,GBR,969455383728.748,990840362348.537,1017215652684.5,1067734601417.84,1132768060998.34,1184953645351.93,1264875820637.12,1337319288705.11,1371570494957.81,1418428010289.07,1545684454328.32,1623580671476.79,1710278788827.57,1792051637943.04,1903593327714.97,1959226645977.57,2099258377323.85,2164032803462.31,2240967890424.7,2154109188724.82,2251771983210.17,2315781273900.51,2401857663682.2,2520760937104.46,2630220891009.16,2708049144530.17,2798058628783.66,2856703440289.48
"Georgia",1,GEO,24849717235.3469,20259029237.1652,11417185093.771,8264002483.36731,7562125374.83524,7920562507.10104,8968454364.77203,10081491394.765,10507319051.8311,10974210429.5672,11430264970.6457,12252542746.2439,13121614734.7411,14863202459.6327,16166424574.3648,18288455454.4941,20619103698.4825,23780806468.0161,24808387589.3859,24084382901.6415,25902054123.0696,28345977228.4492,30701389989.3013,32253883092.4081,34350701514.4092,35723350806.287,37209842529.6829,39768066663.4648
"Ghana",1,GHA,18149309710.8958,19743934496.1896,20977417683.5217,22518136900.7523,23756265322.2245,25249077545.7519,26893306277.8412,28501440481.7537,30164972162.0407,31974162477.5871,33911705327.2445,36071900259.9831,38273802960.9249,41066928334.2987,44559138991.4861,48706473272.123,53415805449.9579,57221061445.0714,63681831450.2869,67273940394.8968,73474945716.0391,85526138706.1051,95195740080.7368,103806794415.438,109881644132.255,115335161951.368,121154036528.302,133826196368.999
"Gibraltar",1,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guinea",1,GIN,5513037382.42176,5845414227.87929,6174222331.03192,6639969816.93648,7050500622.79593,7529190908.599,8008693225.5581,8567843403.24505,8976437471.55872,9461224505.71542,9918725612.46724,10515894137.3081,11228768414.678,11595674636.0425,12193337178.7877,12962901633.0527,13518836945.9075,14826177814.2429,15742342629.8462,15684616787.1095,16641526252.7619,17938333959.3527,19349714142.0372,20435879028.7107,21573884197.6221,22639796534.1767,25325618839.6014,27908224708.6373
"Gambia, The",1,GMB,892640136.51798,951009612.095984,1005552471.17694,1060486087.32133,1084726294.56172,1117115324.89287,1162801890.19296,1240655737.2495,1298014212.96916,1402222192.07735,1513007190.2352,1637241381.3853,1608347881.3751,1753116041.7998,1928315033.40203,1971618483.18329,2055035722.44908,2186331867.00769,2357056964.31492,2528134795.26307,2726020899.37959,2662799770.40924,2863707032.89192,3049311632.00979,3131973180.94045,3302072615.95191,3418319100.23781,3601619398.49562
"Guinea-Bissau",1,GNB,1029737178.49626,1118276733.2764,1156349869.3066,1208723567.92937,1273949109.75114,1357742429.93363,1542902077.63734,1671313981.63013,1214716345.00701,1245953423.46957,1343461730.22151,1404155176.11501,1411664926.07725,1447999809.87049,1528900341.23033,1645417909.8108,1735135543.15103,1839436797.67812,1935602944.51595,2016007791.71856,2134723159.81689,2354948198.33888,2357251807.88357,2473310969.17194,2541983582.49498,2727167989.22424,2934937461.41479,3164590270.13907
"Equatorial Guinea",1,GNQ,275747981.8831,282013662.220897,388662508.719049,441812042.688532,526426574.620287,631378384.075246,1070950354.58969,2722904769.12927,3406837251.83247,4346684148.5346,5255304481.02618,8781778849.30642,10652011228.137,12380575097.8821,17554826862.7449,21154488252.9558,23484422401.5888,27793851199.0872,33383158833.8186,34088542632.2107,31425606407.2872,34166939303.2501,37688884731.5401,36714650894.6021,37528682710.7801,34487661897.2086,31932300934.5307,31460069102.9945
"Greece",1,GRC,135596712432.371,144453558228.476,148780603121.789,149883267236.526,156134541792.358,162737865429.072,171075087374.998,182800397273.743,193170774070.676,198711870544.202,210883872335.534,227898542857.742,246559427995.662,260836905588.084,278768716559.84,281028288404.685,314336455898.563,323575224575.046,341817992911.939,337208206395.671,313353297168.706,290296713794.743,279267183855.415,286168672044.05,292335538628.945,288887802488.231,288418450083.695,297008117389.321
"Grenada",1,GRD,450648632.348535,472100312.214813,478752203.056687,480541972.956402,499079985.005439,520338625.163804,553353124.853714,591052180.291378,667627079.779022,724672198.941258,777389914.792609,779013712.622926,818160829.060687,913449948.001601,932490517.71342,1090247224.12118,1078875081.47985,1175404170.04853,1209835049.71224,1138397889.09999,1146410372.78929,1179028540.57174,1186874682.8121,1234412548.70119,1348837722.90894,1451244361.7016,1523902172.01763,1609191291.2022
"Greenland",1,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guatemala",1,GTM,30540958400.4155,32711970709.0043,35076451412.2481,37321284747.3492,39653013271.3296,42483221260.244,44538274519.7677,47277505397.2091,50177023737.0046,52904775441.3684,56061343668.2976,58676399100.9894,61880781025.4762,64712019569.5851,68587283624.8522,73102142991.2942,79401591855.0679,86653470298.2499,91252281018.5171,92428615550.923,96242501056.0396,102317810920.593,107297400116.985,113061302826.234,119894718821.6,126212418674.906,131775536412.462,137849484243.89
"Guam",1,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guyana",1,GUY,1365917581.47118,1495848054.07561,1649763624.63758,1827748837.85283,2025745754.50526,2171113039.67401,2385031440.8466,2576907851.13806,2560367884.09753,2676753287.82392,2699973174.55898,2823636682.72651,2897115037.45258,2925181003.3077,3104618032.58469,3141803929.51315,3404448150.89774,3740402981.84777,3889160064.84591,4057893971.50427,4277439725.42395,4592610458.19144,4923992557.59363,5253719425.16258,5553740325.88527,5791503421.54382,6059895526.16827,6349353071.59207
"High income",2,HIC,18502209598397.9,19488634487340.1,20428492638452.1,21232751726806.8,22427975442630.4,23560725384570.5,24771462686317.3,26088206215178,27127134174484.6,28399804863068.2,30361584438332.4,31541611293898.4,32721329568251.7,34069254297849.7,36243772034917.5,38302280749684.4,41080080075926.7,43436741068670.6,44881725443799,43975643903572.3,45978980887779.2,48091268317429.8,49699510155074.7,51688656837991.5,53469694201545.7,55214346342010.6,56876354797668.1,59086554847304.5
"Hong Kong SAR, China",1,HKG,99453930239.1754,108623859246.516,118027008274.991,128328373463.722,138970271264.1,145236405279.02,154185738621.195,164822235724.912,156809800883.732,163200396492.448,179705459001.83,184831653164.687,190778045205.046,200529321395.913,223969139692.237,248255481945.309,273878082955.27,299343871735.67,311710650483.46,306354558463.896,331082545804.494,354187869989.884,366845410444.673,384331409423.798,402036279170.443,416100203196.481,430523559067.197,454886388183.985
"Honduras",1,HND,10158204331.5896,10837665415.9977,11708152669.6684,12733496747.1973,12835000625.7135,13635056695.4578,14383135403.6363,15359849531.0134,15977059164.7937,15915047568.9573,17212835066.7193,18084519376.3149,19051516027.823,20314967763.8835,22174477022.2463,24272830900.7515,26661586553.7078,29064956817.8257,30889137475.3709,30366907263.1603,31884663508.9003,33791210423.4101,35834494559.5723,37429721099.5672,39266636141.0335,41216678401.3481,43308762339.6568,46197767625.3891
"Heavily indebted poor countries (HIPC)",2,HPC,340887153131.857,355353277763.81,361123459459.035,373917098882.719,383865575126.305,410352560749.736,441060514425.502,468386684086.106,489995369481.502,513476513178.395,540492534519.76,577410305774.103,606362401027.483,646806945715.293,702061341947.234,769963341064.897,842269629425.1,923974865940.775,999507247294.805,1051531045765.94,1125953438983.64,1206579097926.77,1301190575130.14,1400260446070.62,1506288961714.84,1600900184854.86,1697312528929.28,1820853949027.75
"Croatia",1,HRV,,,,,,36729395174.4765,39516160346.671,42839052302.1127,44250441906.0636,44395625702.8536,47593876987.3055,50212111877.1519,54539766371.46,58259998876.8658,62557035620.0649,66005278329.2191,75156886024.185,83285980181.8194,89785436580.9949,86133584608.3165,84996995891.7313,88824804186.3728,90314310990.4975,92688838281.4282,93486169607.2946,95521075811.1911,98975522489.1853,104233492599.108
"Haiti",1,HTI,,,,,,,10153768277.3176,10606881033.5687,10955929699.4183,11425067511.2917,11786714082.8115,11929418862.4445,12082091560.5817,12367846436.5457,12260241644.8935,12883151200.6531,13577629100.885,14404994327.7916,14811519347.8814,15384147157.7422,14715922850.4628,15849403538.3438,16607051385.165,17589763725.4432,18408612238.4972,18833627657.8457,19350995075.4159,19930307296.1845
"Hungary",1,HUN,,86216073089.3037,85479374145.2426,87008981707.2158,91479508060.1116,94778504734.7813,96291604655.8893,101030818483.111,106803446956.623,111535353333.808,121266320391.927,134903846957.251,147803542541.548,156676209065.556,164255078915.479,172304968126.275,184309350979.65,191329714415.587,207576476549.375,206948229806.84,215559086914.522,227766313841.215,229105535641.04,242016438352.832,251838809626.466,257370942502.808,262041834312.371,274926859412.142
"IBRD only",2,IBD,9784988988790.1,10238290094350,10702432280768.5,11490231177074.4,12133859627794.7,12927467741598.7,13858637493196.7,14813012277452.5,15327737776969.9,16158609038291.3,17475388699284.8,18543104234058.2,19666493333049.8,21235305340582.6,23534794345471.6,26146622614423.3,29553732736712.7,33118020403106.8,36159747634410,37656475067652.7,41158012936685.8,45044427786604.2,48270370155459.8,51487830520480.6,54765868176415,57487085218580.7,60886520140799.9,65170689886138.1
"IDA & IBRD total",2,IBT,10855759482635.7,11363439999442.9,11871196348314.6,12709201730175.3,13399333296960.7,14265730242269.3,15289206134441.9,16315545380494.6,16896492979529.9,17803852156256.5,19230493555853,20412916801779.9,21632014141854.9,23353781026631.2,25950709748318.5,28796223840561.6,32474717890875.8,36317935636326.4,39591038817418.1,41281333062365.2,45042420612727.9,49200534181726.9,52703215013307.5,56250962931132,59888040729858.8,62868501244824.4,66518773694351.4,71178980728192.1
"IDA total",2,IDA,1094062805929.26,1149919740780.59,1194039797311.57,1243193769277.49,1289497319095.63,1363141192994.72,1456949611972.88,1529043469877.34,1597077191577.83,1674557035910.23,1785140826809.7,1902162618665.5,1998707033760.21,2154101812188.73,2459077494115.34,2695692259128.61,2969088256801.06,3249854364804.76,3482437045359.22,3680907123295.63,3941478185670.42,4203310681148.95,4482453273787.84,4817673473548.83,5182791521310.13,5445223050827.71,5697327236806.6,6076956761588.48
"IDA blend",2,IDB,548041015806.211,576980230266.118,602577418075.583,624810557355.283,651897489415.458,682149761110.131,727441794015.055,754044794743.42,782749871797.13,812966346731.692,864528561686.763,911717786203.759,953217615133.81,1029257216915.11,1226626656088.74,1336205582809.54,1472616487508.59,1601400800688.39,1695777190254.97,1790359011882.79,1908785620474.1,2037008107901.76,2166659550955.54,2316076639752.33,2490907096937.21,2620579863376.49,2717793880764.63,2859067566169.06
"Indonesia",1,IDN,542411572413.78,599205113307.155,652685194583.404,711624208899.191,781566653785.713,863452383274.18,947953854514.789,1009493322832.81,886497384272.977,907184286026.749,973477182950.85,1031938365374.71,1094924503976.06,1170143065139.01,1262805876647.17,1377637561965.65,1498073700341.18,1635525273179.47,1767892938161.5,1863773890433.36,2003952398637.54,2171518784772.08,2344875011463.56,2515160326744.32,2688484959720.5,2850160640450.65,3031809763630.8,3242768575867.58
"IDA only",2,IDX,538247594110.994,564597169399.432,582182344321.714,609165775907.245,627477155957.794,671318334254.223,719427229354.289,765712390749.617,805294950755.204,853188109473.922,911947234778.338,982462339969.162,1037729931879.02,1116272880039.44,1217071582411.88,1343542636185.29,1478813918644.67,1630260018012.5,1769355475201.31,1872481014079.04,2014246844032.33,2150112289491.9,2299054269848.34,2484785033666.58,2673863810735.44,2805378651868.24,2961631332318.65,3203582943926.41
"Isle of Man",1,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"India",1,IND,986924774747.198,1030551994476.42,1111830811950.71,1192361508070.84,1298824697188.18,1426345226823.48,1562031968309.69,1653108387294.87,1774393457913.63,1960907867703.91,2082560895170.89,2232771859100.84,2353285623613.73,2588877240189.25,2870819522582.86,3238319300039.6,3647022562138.78,4111053078875.37,4354793096905.58,4759946371627.59,5312415376238.02,5782035485242.57,6209845313195.54,6713106674684.6,7339969288545.96,8024589278595.6,8705012643110.06,9448658813549.45
"Not classified",2,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ireland",1,IRL,48301137643.958,50871918143.1499,53771113619.2239,56532812323.8352,61059074514.1652,68337943267.2735,74477055392.5764,83091909294.4123,92962226571.1346,101361193239.39,114814294552.358,125933815837.979,138447225398.856,144815444554.769,157450015125.542,168219039702.206,188940263767.195,205657556075.605,198800112658.519,188732120883.961,197448756572.956,206778775557.327,213299844971.035,222253521821.239,237518219478.634,322444903021.935,339477467511.109,364140938829.862
"Iran, Islamic Rep.",1,IRN,414015344858.42,480771501163.935,505670163737.797,523085462560.826,526142251226.721,549376412328.509,588345208364.901,601299397666.69,621062390913.402,635960881237.25,688535054191.232,709709462720.454,772960267417.825,857234681686.026,919337196011.746,979186770931.182,1059731432894.59,1176663921116.71,1202755146530.99,1224097683691.05,1310887443155.48,1373350831357.52,1294525463521.78,1312879236701.85,1397963127988.29,1394460754379,1601439688263.97,1700355863430.14
"Iraq",1,IRQ,130089499010.703,48327715755.7383,65539493638.7699,87422978202.8873,92724914066.4545,96665644168.6023,109278124252.241,134754053638.071,183697587923.339,219301218030.963,227446063407.058,237992176574.821,224971666320.159,153505298541.134,243147301475.948,262015171259.408,297498713918.347,309623562762.394,341673078751.186,355901703665.243,383313651239.971,420751532114.547,488219872853.551,533808612445.628,547192460040.355,579676460221.753,651649889728.684,658200225139.29
"Iceland",1,ISL,5513794169.79444,5684586557.63764,5618005607.89011,5827218040.28677,6166000378.45832,6301941639.97844,6567421241.73571,7261956746.44186,7818153533.10633,8139586974.81467,8282450840.97995,8986222429.63491,9263911802.9134,9362582928.47519,10319746770.3851,10968813946.5643,11761835787.1784,12705691331.5761,13560295188.2012,13120871957.2758,12255813954.0489,12639952183.7649,13051870458.9192,13863990528.6585,14583740176.4729,15713588571.6241,17022081152.1598,18140165689.3063
"Israel",1,ISR,70125850307.6456,78058353983.8089,86032542562.9128,91705491257.1027,100613842293.604,109494022542.836,118197960681.374,125080777296.748,131699628178.583,138425337345.537,156818414660.374,160540999966.415,165652951590.042,159208774238.279,171778044179.891,172004763895.648,181111295944.354,197425549025.007,200257082931.988,205843260905.172,219775591982.999,237310354994.711,250826823058.747,275062324726.284,280044858639.519,300752368875.762,318408778839.172,333351018353.62
"Italy",1,ITA,1052544947699.95,1104310968739.25,1138906917526.56,1156061002216.61,1206059385475.6,1266757034478.24,1305691746904.4,1354446847115.55,1418489592116.92,1453166048109.8,1538738704061.94,1592760970010.89,1634258866845.82,1666628237930.6,1699288073351.44,1742085789561.7,1880153086065.99,1986354257167.68,2082637866310.06,2039248259114.77,2077210827549.69,2158285168982.73,2157547299764.22,2176320732837.02,2192713251239.79,2225175543596.08,2326893826135.11,2387357093793.19
"Jamaica",1,JAM,11415802045.0812,12366486436.2922,12895731328.4827,14445852595.3116,14957374897.9005,15628160241.6252,15895362086.393,15983028944.0912,15779303945.8551,16188623593.3558,16702485866.4328,17312874882.4063,17929745848.5941,18957744651.74,19736878573.9297,20554023906.842,21799692475.7627,22700324871.3314,22957735784.5968,22128953545.1684,22070786540.6636,22916503999.9595,23193014436.7037,23685124441.4851,24274811682.2198,24757094992.7347,25417329794.0451,25999251718.6879
"Jordan",1,JOR,14459793042.9255,15213599133.186,18464724045.0223,19779478508.7853,21207693520.871,22989361628.4026,23897672819.9675,25110721407.4082,26143195530.6744,27448256609.2022,29264608942.6226,31508497417.8675,33842774282.8431,35953913701.0922,40107524045.2155,44770564813.5304,49880787440.1406,55394928323.0708,60566539383.7027,64368668623.7779,66660818921.8441,69797089967.4539,72967314251.663,76243151672.4926,80014575364.7239,82816737706.4113,85553911481.4611,88809056315.0766
"Japan",1,JPN,2401129521825.5,2573896301978.09,2656946194901.81,2709602325672.11,2798947603375.75,2935677118606.32,3081934732817.35,3168427406340.51,3166660918756.62,3207019636532.04,3404322615738.2,3496048877531.38,3588864914954.67,3693808515950.01,3879055842709.97,4045734392815.61,4231828037905.56,4416320571287.38,4456434357160.63,4250223066793.03,4482491137283.3,4573186804907.29,4746699396854.28,4967051560426.25,4986566209495.87,5176841338734.21,5369478818634.44,5487161155332.05
"Kazakhstan",1,KAZ,137894736337.317,126811276795.148,122827797782.077,114181174573.601,101918102877.105,95512194576.8738,97742099827.7118,101105013739.024,100260419187.989,104543183933.426,117400449100.355,136286133986.195,151939368949.786,169381254119.889,190746487868.359,215981769743.5,246437357267.612,275512518050.541,290187266911.589,295899742495.752,321378213210.243,352286473300.142,375997008538.748,404993550091.89,429576863942.793,439446159426.785,449948192451.365,476365954845.758
"Kenya",1,KEN,36006929245.9491,37740567625.9843,38292271226.9278,39341809624.1336,41236883563.5827,43951834452.0169,46610083358.1997,47632957265.5937,49734131402.3525,51659334828.1879,53151701403.3592,56417845659.4392,57597192512.391,60468416603.4034,65302488550.382,71384997082.4805,78340475085.1634,85935104018.476,87824345701.5419,91417668820.675,100312344328.734,108637269874.175,115687086995.509,124466161028.751,133487386187.356,142651232594.993,152950469070.363,163309293867.564
"Kyrgyz Republic",1,KGZ,9861724967.95507,9389952233.2803,8270129214.53557,7157972083.766,5842017242.65139,5640393524.6115,6150250536.41451,6875756859.3085,7097851983.99679,7469925417.22829,8054497778.95495,8676446670.69656,8808112185.69819,9615335190.97648,10573964871.7378,10895037130.7167,11578209849.7182,12901780542.0135,14260084574.988,14783094422.9223,14893084056.0537,16105958461.3669,16388179550.6092,18470586534.054,19558676116.4195,20537057585.789,21700887051.4112,23103942652.1078
"Cambodia",1,KHM,,,,11418676152.3656,7602408425.08966,8529575340.56676,9197502601.35232,9729734317.36785,10295780682.5544,11781475862.7873,13340314528.6197,14660366486.4727,15864724244.924,17557421177.5708,19905653509.7717,23268527557.9946,26566670712.1475,30059045876.6928,32699568534.9031,32976465254.0082,35369652415.8202,38652011936.303,42242827358.7472,46082904356.6158,50260518427.9363,54380283347.5732,58903418891.7993,64049609879.3487
"Kiribati",1,KIR,91784897.5203574,94839969.8387743,97852788.7374983,101052101.253376,104981979.829978,107171564.464707,110977666.410457,114758337.436786,123610563.303853,123571399.68621,134282247.069546,135322665.118704,142604011.748756,148365767.328183,149961527.345745,162451216.318293,164794889.273791,172906284.097928,173041039.581245,174860147.736715,174150347.186796,178593470.642087,191318991.031521,205649846.821602,211210038.293,235482548.851536,241206174.90291,253165064.833321
"St. Kitts and Nevis",1,KNA,378102942.712837,382294761.946711,407733918.164537,446677850.722966,480421494.795129,518655766.15709,559210332.510183,608006288.292116,610503373.028681,640849522.132513,725526203.030404,782604761.83232,815137120.616463,801334970.661565,853065722.353988,957748009.187824,1005060470.43114,1029986946.25586,1116268443.81604,1090777984.55665,1079267843.42191,1127973937.87452,1141852964.86996,1232463031.80822,1329393148.23078,1397244155.38985,1446330801.75522,1498019427.8363
"Korea, Rep.",1,KOR,354787684776.695,404554097585.841,439328880109.902,480577062027.848,535988526038.362,599534749893.421,656842503975.407,707649591003.119,676192144125.067,764178264900.255,850051624691.39,908767515559.961,989824399774.38,1023674453256.63,1103360293716.91,1165894061000.23,1251054256349.21,1354518051058.72,1405710904231.6,1396413622348.57,1505298908340.89,1559446833866.66,1611272914641.19,1644777306032.44,1704457641238.21,1795916631372.35,1877123308763.7,1972970735841.73
"Kuwait",1,KWT,,,58504973654.67,80256216409.7742,88878809035.7991,95140584315.4368,97463657960.5046,101583602669.381,106446464566.294,106141958294.208,113653548192.1,117091046457.397,122455196115.523,146529186244.701,166761710323.157,189470981333.625,209978482819.663,228482744020.388,238741850314.157,223533024597.155,220907355075.089,247177337169.866,268411108899.45,275879924452.247,282237688976.977,286990241704.127,300961092607.996,297594270632.568
"Latin America & Caribbean (excluding high income)",2,LAC,2188205967395.41,2331630159921.2,2433310344048.59,2727298929464.99,2919189760741.93,3026954666102.65,3155320581036.14,3371439336264.53,3476283027943.6,3550507347804.91,3786206305215.39,3917055910563.82,4028011395778.57,4131348782707.43,4487032507869.12,4851231148321.55,5287763863709.72,5725316170065.81,6109163541293.99,6116110701919.51,6540575880466.58,7030860620282.33,7384111923694.76,7711011153114.81,7986715301708.9,7981878365257.5,8093966362683.99,8386321283704.57
"Lao PDR",1,LAO,4701178301.35462,5066369987.77732,5469964525.25817,5931218912.96374,6551671040.1087,7158590341.47639,7794298749.15675,8472497130.15202,8904249060.38337,9701046591.61692,10497139171.0344,11353850878.5148,12210468086.1545,13209533225.7155,14435673213.063,15959200083.0376,17867336254.0285,19736320797.4746,21698112941.4344,23503001198.2223,25818610470.8302,28469987707.9776,31321540191.3518,34381946782.842,37663101156.5446,40839177061.1974,44264968375.1025,48167406714.9009
"Lebanon",1,LBN,13727825626.2674,19603436275.4117,20952557673.7677,22952212685.105,25316657493.3196,27533616964.5886,29476341325.005,29295232528.3873,30677056094.6425,31005396958.9373,32137146915.9606,34141984946.5721,35849990822.8296,37743152898.8435,41074402165.6768,43554407239.8593,45591257336.7397,51180590876.4482,57650299423.0286,63928572298.6311,69910216563.6056,72008412533.3855,75391334623.0716,78628500184.3558,81642756484.0587,83201183499.1805,85947917515.3776,89262508158.3671
"Liberia",1,LBR,1186328522.09814,1051440754.09602,698094348.57483,479027449.711756,382755633.031855,374068939.059975,427067193.764568,896030941.969499,1179366882.80309,1457750348.83667,1917562920.07407,2018505979.85792,2126610150.32022,1515161267.53568,1597622188.48276,1736129144.0971,1933397443.62045,2174105131.95408,2375182613.2618,2520063637.33785,2706442396.16075,2988830566.66257,3287228376.57648,3631054394.95557,3722135735.37811,3762499787.88975,3749533733.47231,3910691675.74149
"Libya",1,LBY,,,,,,,,,,87760272075.5394,93059636020.2645,93502458876.6602,94027527244.5164,108385158045.78,116334161872.794,134331433978.996,147459010970.519,160999744187.143,168536611292.603,168474745414.634,179095337142.948,69322560014.4654,157535448633.684,138308823903.514,107001172871.176,98576211180.9809,97043022461.7507,125141995511.076
"St. Lucia",1,LCA,878041406.42344,912509110.375795,1005916743.83619,1036128380.52574,1076809242.23896,1117849714.01328,1171768378.4696,1185482609.54626,1273842865.22898,1328510479.71819,1359288506.29516,1344163904.97006,1369434256.01713,1457160867.80759,1605763970.93596,1651423613.90809,1808072930.56862,1874482491.11881,2019320927.49309,2058665606.22702,2050006471.61715,2105522738.84117,2148198504.54603,2256992757.71318,2292547648.22439,2362913606.80462,2432631593.37023,2543025301.1912
"Latin America & Caribbean",2,LCN,2586315678930.29,2781720561761.97,2940751320600.6,3276425773867.62,3511900185751.37,3636180652745.9,3810729185317.41,4088005273688.26,4232057167970.67,4308632676999.47,4570458427166.39,4710020304928.71,4790820115832.65,4956460781692.83,5404502996170.22,5859622286361.24,6426576128784.54,6975662639880.03,7409648698576.21,7375757947383.3,7929187454153.97,8534981306634.19,8934457534611.38,9329338638375.5,9620018679825.77,9659369454256.68,9786018529631.8,10162518321160.2
